L,T,mag_abs
10,2.0,0.9951176470588234
10,2.25,0.9876842105263155
10,2.5,0.980108108108108
10,2.75,0.9668999999999999
10,3.0,0.94815
10,3.25,0.91325
10,3.5,0.8778490566037735
10,3.75,0.8256065573770492
10,4.0,0.735945945945946
10,4.25,0.616822429906542
10,4.5,0.40140909090909094
10,4.75,0.16156456776947709
10,5.0,0.10502144035184166
10,5.25,0.07914679531357685
10,5.5,0.07720715036803366
10,5.75,0.06716538131962296
10,6.0,0.06054396371249128
15,2.0,0.9947654320987657
15,2.25,0.9892016460905351
15,2.5,0.9767797270955166
15,2.75,0.9664561403508773
15,3.0,0.9446142728093948
15,3.25,0.9213432098765433
15,3.5,0.8818563869992441
15,3.75,0.828024322830293
15,4.0,0.6976866096866097
15,4.25,0.5828232804232804
15,4.5,0.29829413879899314
15,4.75,0.0921854983346144
15,5.0,0.06164442735136653
15,5.25,0.04400643846586899
15,5.5,0.04230362399067062
15,5.75,0.039891921513990486
15,6.0,0.03269578581344207
20,2.0,0.9940571428571429
20,2.25,0.9891458333333332
20,2.5,0.9788869047619047
20,2.75,0.9653662790697675
20,3.0,0.9460649999999999
20,3.25,0.9173482142857142
20,3.5,0.8796750000000002
20,3.75,0.7853952702702703
20,4.0,0.6026687499999999
20,4.25,0.4575730337078651
20,4.5,0.23321491228070176
20,4.75,0.059556061073411465
20,5.0,0.03854928057553957
20,5.25,0.031011487521398325
20,5.5,0.027480691467852814
20,5.75,0.023186014818735116
20,6.0,0.02177295263390881
25,2.0,0.9946313142857142
25,2.25,0.9888018285714285
25,2.5,0.979765894736842
25,2.75,0.9659070270270268
25,3.0,0.9455072000000001
25,3.25,0.8679374769230769
25,3.5,0.7544261818181818
25,3.75,0.6300644848484849
25,4.0,0.4649961025641026
25,4.25,0.31571443037974684
25,4.5,0.1928448136315229
25,4.75,0.04405232545931758
25,5.0,0.02728229498226052
25,5.25,0.02387523870429584
25,5.5,0.01884377346168237
25,5.75,0.017488851189016916
25,6.0,0.014772306946318703
30,2.0,0.9945225225225226
30,2.25,0.9887
30,2.5,0.9795222222222222
30,2.75,0.9650622895622895
30,3.0,0.9464562962962962
30,3.25,0.9179305555555555
30,3.5,0.559762962962963
30,3.75,0.6401509172724126
30,4.0,0.41179053497942386
30,4.25,0.20474951728980162
30,4.5,0.14171456028258272
30,4.75,0.03256875506416791
30,5.0,0.02126863262605901
30,5.25,0.016325637120820087
30,5.5,0.014801562447459105
30,5.75,0.01263433878005097
30,6.0,0.010858122799587118
