L,T,mag_abs
50,2.0,0.9944497777777779
50,2.25,0.9886276923076921
50,2.5,0.9794656842105263
50,2.75,0.8128390303030303
50,3.0,0.5943301505376345
50,3.25,0.4519565373134328
50,3.5,0.2919593076923077
50,3.75,0.1537334137931034
50,4.0,0.12557857413249213
50,4.25,0.060243552162849885
50,4.5,0.05812041002483631
50,4.75,0.014883117567243994
50,5.0,0.010480178718443443
50,5.25,0.00793349008493688
50,5.5,0.00661808165003236
50,5.75,0.005771656351677839
50,6.0,0.0051419972418445085
70,2.0,0.9944940071266601
70,2.25,0.9887821290678435
70,2.5,0.97939830626128
70,2.75,0.9083998190409169
70,3.0,0.4007270622534728
70,3.25,0.31290637147716227
70,3.5,0.18938782290324765
70,3.75,0.10336084459757931
70,4.0,0.08503959412835624
70,4.25,0.031725688140024695
70,4.5,0.02933787763186483
70,4.75,0.009114107618587641
70,5.0,0.006067129786368517
70,5.25,0.004650292332040509
70,5.5,0.004071800047629483
70,5.75,0.003496704374419592
70,6.0,0.003341601859545592
100,2.0,0.9945498857142856
100,2.25,0.9886993714285712
100,2.5,0.9794801818181817
100,2.75,0.5259707169811321
100,3.0,0.30720525
100,3.25,0.16811129970326413
100,3.5,0.09281862316910784
100,3.75,0.045572297063903276
100,4.0,0.02370039679144385
100,4.25,0.012461482523022083
100,4.5,0.01415323926036608
100,4.75,0.005300338160917797
100,5.0,0.003433700848391457
100,5.25,0.002765057043981699
100,5.5,0.002405527775435376
100,5.75,0.0021638233009204657
100,6.0,0.0018964218525245808
