run,step,side,T,J,seed,e_per_spin,m_per_spin
1,1,10,1.5,1.0,11,0.024,0.016
1,2,10,1.5,1.0,11,0.024,0.014
1,3,10,1.5,1.0,11,0.024,0.014
1,4,10,1.5,1.0,11,0.024,0.014
1,5,10,1.5,1.0,11,0.02,0.016
1,6,10,1.5,1.0,11,0.02,0.016
1,7,10,1.5,1.0,11,0.02,0.016
1,8,10,1.5,1.0,11,0.012,0.018
1,9,10,1.5,1.0,11,0.012,0.016
1,10,10,1.5,1.0,11,0.012,0.014
1,11,10,1.5,1.0,11,0.016,0.012
1,12,10,1.5,1.0,11,0.016,0.012
1,13,10,1.5,1.0,11,0.016,0.012
1,14,10,1.5,1.0,11,0.016,0.014
1,15,10,1.5,1.0,11,0.016,0.012
1,16,10,1.5,1.0,11,0.016,0.012
1,17,10,1.5,1.0,11,0.016,0.01
1,18,10,1.5,1.0,11,0.016,0.01
1,19,10,1.5,1.0,11,0.016,0.01
1,20,10,1.5,1.0,11,0.016,0.01
1,21,10,1.5,1.0,11,0.016,0.01
1,22,10,1.5,1.0,11,0.012,0.012
1,23,10,1.5,1.0,11,0.012,0.014
1,24,10,1.5,1.0,11,0.012,0.014
1,25,10,1.5,1.0,11,0.012,0.016
1,26,10,1.5,1.0,11,0.012,0.016
1,27,10,1.5,1.0,11,0.012,0.018
1,28,10,1.5,1.0,11,0.012,0.018
1,29,10,1.5,1.0,11,0.004,0.02
1,30,10,1.5,1.0,11,0.004,0.022
1,31,10,1.5,1.0,11,0.004,0.02
1,32,10,1.5,1.0,11,0.004,0.022
1,33,10,1.5,1.0,11,0.0,0.02
1,34,10,1.5,1.0,11,-0.004,0.018
1,35,10,1.5,1.0,11,-0.004,0.016
1,36,10,1.5,1.0,11,-0.004,0.018
1,37,10,1.5,1.0,11,-0.004,0.016
1,38,10,1.5,1.0,11,-0.004,0.014
1,39,10,1.5,1.0,11,-0.004,0.014
1,40,10,1.5,1.0,11,-0.004,0.016
1,41,10,1.5,1.0,11,-0.004,0.016
1,42,10,1.5,1.0,11,-0.004,0.016
1,43,10,1.5,1.0,11,-0.004,0.018
1,44,10,1.5,1.0,11,-0.004,0.018
1,45,10,1.5,1.0,11,-0.004,0.018
1,46,10,1.5,1.0,11,-0.004,0.018
1,47,10,1.5,1.0,11,-0.008,0.016
1,48,10,1.5,1.0,11,-0.012,0.014
1,49,10,1.5,1.0,11,-0.012,0.014
1,50,10,1.5,1.0,11,-0.016,0.016
1,51,10,1.5,1.0,11,-0.016,0.014
1,52,10,1.5,1.0,11,-0.016,0.014
1,53,10,1.5,1.0,11,-0.016,0.016
1,54,10,1.5,1.0,11,-0.02,0.014
1,55,10,1.5,1.0,11,-0.02,0.014
1,56,10,1.5,1.0,11,-0.02,0.016
1,57,10,1.5,1.0,11,-0.02,0.016
1,58,10,1.5,1.0,11,-0.028,0.018
1,59,10,1.5,1.0,11,-0.028,0.018
1,60,10,1.5,1.0,11,-0.028,0.018
1,61,10,1.5,1.0,11,-0.028,0.016
1,62,10,1.5,1.0,11,-0.028,0.014
1,63,10,1.5,1.0,11,-0.028,0.012
1,64,10,1.5,1.0,11,-0.028,0.01
1,65,10,1.5,1.0,11,-0.032,0.008
1,66,10,1.5,1.0,11,-0.036,0.006
1,67,10,1.5,1.0,11,-0.036,0.006
1,68,10,1.5,1.0,11,-0.04,0.004
1,69,10,1.5,1.0,11,-0.044,0.006
1,70,10,1.5,1.0,11,-0.044,0.006
1,71,10,1.5,1.0,11,-0.044,0.006
1,72,10,1.5,1.0,11,-0.044,0.006
1,73,10,1.5,1.0,11,-0.044,0.008
1,74,10,1.5,1.0,11,-0.048,0.006
1,75,10,1.5,1.0,11,-0.048,0.006
1,76,10,1.5,1.0,11,-0.048,0.008
1,77,10,1.5,1.0,11,-0.048,0.008
1,78,10,1.5,1.0,11,-0.048,0.006
1,79,10,1.5,1.0,11,-0.048,0.006
1,80,10,1.5,1.0,11,-0.06,0.008
1,81,10,1.5,1.0,11,-0.06,0.006
1,82,10,1.5,1.0,11,-0.06,0.006
1,83,10,1.5,1.0,11,-0.06,0.006
1,84,10,1.5,1.0,11,-0.064,0.004
1,85,10,1.5,1.0,11,-0.064,0.006
1,86,10,1.5,1.0,11,-0.064,0.006
1,87,10,1.5,1.0,11,-0.068,0.004
1,88,10,1.5,1.0,11,-0.068,0.004
1,89,10,1.5,1.0,11,-0.072,0.002
1,90,10,1.5,1.0,11,-0.072,0.002
1,91,10,1.5,1.0,11,-0.08,0.004
1,92,10,1.5,1.0,11,-0.084,0.006
1,93,10,1.5,1.0,11,-0.084,0.004
1,94,10,1.5,1.0,11,-0.088,0.006
1,95,10,1.5,1.0,11,-0.092,0.004
1,96,10,1.5,1.0,11,-0.092,0.002
1,97,10,1.5,1.0,11,-0.096,0.004
1,98,10,1.5,1.0,11,-0.1,0.006
1,99,10,1.5,1.0,11,-0.1,0.006
1,100,10,1.5,1.0,11,-0.1,0.004
1,101,10,1.5,1.0,11,-0.104,0.002
1,102,10,1.5,1.0,11,-0.104,0.002
1,103,10,1.5,1.0,11,-0.112,0.004
1,104,10,1.5,1.0,11,-0.116,0.006
1,105,10,1.5,1.0,11,-0.116,0.008
1,106,10,1.5,1.0,11,-0.12,0.01
