run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
1,1,10,1.5,1.0,11,0.024,0.016,200,0.024,0.016,1
1,2,10,1.5,1.0,11,0.024,0.014,200,0.024,0.015,2
1,3,10,1.5,1.0,11,0.024,0.014,200,0.024,0.0146666666667,3
1,4,10,1.5,1.0,11,0.024,0.014,200,0.024,0.0145,4
1,5,10,1.5,1.0,11,0.02,0.016,200,0.0232,0.0148,5
1,6,10,1.5,1.0,11,0.02,0.016,200,0.0226666666667,0.015,6
1,7,10,1.5,1.0,11,0.02,0.016,200,0.0222857142857,0.0151428571429,7
1,8,10,1.5,1.0,11,0.012,0.018,200,0.021,0.0155,8
1,9,10,1.5,1.0,11,0.012,0.016,200,0.02,0.0155555555556,9
1,10,10,1.5,1.0,11,0.012,0.014,200,0.0192,0.0154,10
1,11,10,1.5,1.0,11,0.016,0.012,200,0.0189090909091,0.0150909090909,11
1,12,10,1.5,1.0,11,0.016,0.012,200,0.0186666666667,0.0148333333333,12
1,13,10,1.5,1.0,11,0.016,0.012,200,0.0184615384615,0.0146153846154,13
1,14,10,1.5,1.0,11,0.016,0.014,200,0.0182857142857,0.0145714285714,14
1,15,10,1.5,1.0,11,0.016,0.012,200,0.0181333333333,0.0144,15
1,16,10,1.5,1.0,11,0.016,0.012,200,0.018,0.01425,16
1,17,10,1.5,1.0,11,0.016,0.01,200,0.0178823529412,0.014,17
1,18,10,1.5,1.0,11,0.016,0.01,200,0.0177777777778,0.0137777777778,18
1,19,10,1.5,1.0,11,0.016,0.01,200,0.0176842105263,0.0135789473684,19
1,20,10,1.5,1.0,11,0.016,0.01,200,0.0176,0.0134,20
1,21,10,1.5,1.0,11,0.016,0.01,200,0.0175238095238,0.0132380952381,21
1,22,10,1.5,1.0,11,0.012,0.012,200,0.0172727272727,0.0131818181818,22
1,23,10,1.5,1.0,11,0.012,0.014,200,0.0170434782609,0.0132173913043,23
1,24,10,1.5,1.0,11,0.012,0.014,200,0.0168333333333,0.01325,24
1,25,10,1.5,1.0,11,0.012,0.016,200,0.01664,0.01336,25
1,26,10,1.5,1.0,11,0.012,0.016,200,0.0164615384615,0.0134615384615,26
1,27,10,1.5,1.0,11,0.012,0.018,200,0.0162962962963,0.0136296296296,27
1,28,10,1.5,1.0,11,0.012,0.018,200,0.0161428571429,0.0137857142857,28
1,29,10,1.5,1.0,11,0.004,0.02,200,0.015724137931,0.014,29
1,30,10,1.5,1.0,11,0.004,0.022,200,0.0153333333333,0.0142666666667,30
1,31,10,1.5,1.0,11,0.004,0.02,200,0.0149677419355,0.0144516129032,31
1,32,10,1.5,1.0,11,0.004,0.022,200,0.014625,0.0146875,32
1,33,10,1.5,1.0,11,0.0,0.02,200,0.0141818181818,0.0148484848485,33
1,34,10,1.5,1.0,11,-0.004,0.018,200,0.0136470588235,0.0149411764706,34
1,35,10,1.5,1.0,11,-0.004,0.016,200,0.0131428571429,0.0149714285714,35
1,36,10,1.5,1.0,11,-0.004,0.018,200,0.0126666666667,0.0150555555556,36
1,37,10,1.5,1.0,11,-0.004,0.016,200,0.0122162162162,0.0150810810811,37
1,38,10,1.5,1.0,11,-0.004,0.014,200,0.0117894736842,0.0150526315789,38
1,39,10,1.5,1.0,11,-0.004,0.014,200,0.0113846153846,0.0150256410256,39
1,40,10,1.5,1.0,11,-0.004,0.016,200,0.011,0.01505,40
1,41,10,1.5,1.0,11,-0.004,0.016,200,0.0106341463415,0.0150731707317,41
1,42,10,1.5,1.0,11,-0.004,0.016,200,0.0102857142857,0.0150952380952,42
1,43,10,1.5,1.0,11,-0.004,0.018,200,0.00995348837209,0.0151627906977,43
1,44,10,1.5,1.0,11,-0.004,0.018,200,0.00963636363636,0.0152272727273,44
1,45,10,1.5,1.0,11,-0.004,0.018,200,0.00933333333333,0.0152888888889,45
1,46,10,1.5,1.0,11,-0.004,0.018,200,0.00904347826087,0.015347826087,46
1,47,10,1.5,1.0,11,-0.008,0.016,200,0.00868085106383,0.0153617021277,47
1,48,10,1.5,1.0,11,-0.012,0.014,200,0.00825,0.0153333333333,48
1,49,10,1.5,1.0,11,-0.012,0.014,200,0.00783673469388,0.015306122449,49
1,50,10,1.5,1.0,11,-0.016,0.016,200,0.00736,0.01532,50
1,51,10,1.5,1.0,11,-0.016,0.014,200,0.00690196078431,0.0152941176471,51
1,52,10,1.5,1.0,11,-0.016,0.014,200,0.00646153846154,0.0152692307692,52
1,53,10,1.5,1.0,11,-0.016,0.016,200,0.00603773584906,0.0152830188679,53
1,54,10,1.5,1.0,11,-0.02,0.014,200,0.00555555555556,0.0152592592593,54
1,55,10,1.5,1.0,11,-0.02,0.014,200,0.00509090909091,0.0152363636364,55
1,56,10,1.5,1.0,11,-0.02,0.016,200,0.00464285714286,0.01525,56
1,57,10,1.5,1.0,11,-0.02,0.016,200,0.00421052631579,0.0152631578947,57
1,58,10,1.5,1.0,11,-0.028,0.018,200,0.00365517241379,0.0153103448276,58
1,59,10,1.5,1.0,11,-0.028,0.018,200,0.0031186440678,0.0153559322034,59
1,60,10,1.5,1.0,11,-0.028,0.018,200,0.0026,0.0154,60
1,61,10,1.5,1.0,11,-0.028,0.016,200,0.00209836065574,0.0154098360656,61
1,62,10,1.5,1.0,11,-0.028,0.014,200,0.00161290322581,0.0153870967742,62
1,63,10,1.5,1.0,11,-0.028,0.012,200,0.00114285714286,0.0153333333333,63
1,64,10,1.5,1.0,11,-0.028,0.01,200,0.0006875,0.01525,64
1,65,10,1.5,1.0,11,-0.032,0.008,200,0.000184615384615,0.0151384615385,65
1,66,10,1.5,1.0,11,-0.036,0.006,200,-0.000363636363636,0.015,66
1,67,10,1.5,1.0,11,-0.036,0.006,200,-0.00089552238806,0.0148656716418,67
1,68,10,1.5,1.0,11,-0.04,0.004,200,-0.00147058823529,0.0147058823529,68
1,69,10,1.5,1.0,11,-0.044,0.006,200,-0.00208695652174,0.0145797101449,69
1,70,10,1.5,1.0,11,-0.044,0.006,200,-0.00268571428571,0.0144571428571,70
1,71,10,1.5,1.0,11,-0.044,0.006,200,-0.0032676056338,0.014338028169,71
1,72,10,1.5,1.0,11,-0.044,0.006,200,-0.00383333333333,0.0142222222222,72
1,73,10,1.5,1.0,11,-0.044,0.008,200,-0.00438356164384,0.0141369863014,73
1,74,10,1.5,1.0,11,-0.048,0.006,200,-0.00497297297297,0.014027027027,74
1,75,10,1.5,1.0,11,-0.048,0.006,200,-0.00554666666667,0.01392,75
1,76,10,1.5,1.0,11,-0.048,0.008,200,-0.00610526315789,0.0138421052632,76
1,77,10,1.5,1.0,11,-0.048,0.008,200,-0.00664935064935,0.0137662337662,77
1,78,10,1.5,1.0,11,-0.048,0.006,200,-0.00717948717949,0.0136666666667,78
1,79,10,1.5,1.0,11,-0.048,0.006,200,-0.00769620253165,0.0135696202532,79
1,80,10,1.5,1.0,11,-0.06,0.008,200,-0.00835,0.0135,80
1,81,10,1.5,1.0,11,-0.06,0.006,200,-0.00898765432099,0.0134074074074,81
1,82,10,1.5,1.0,11,-0.06,0.006,200,-0.00960975609756,0.0133170731707,82
1,83,10,1.5,1.0,11,-0.06,0.006,200,-0.0102168674699,0.0132289156627,83
1,84,10,1.5,1.0,11,-0.064,0.004,200,-0.0108571428571,0.013119047619,84
1,85,10,1.5,1.0,11,-0.064,0.006,200,-0.0114823529412,0.0130352941176,85
1,86,10,1.5,1.0,11,-0.064,0.006,200,-0.0120930232558,0.0129534883721,86
1,87,10,1.5,1.0,11,-0.068,0.004,200,-0.0127356321839,0.0128505747126,87
1,88,10,1.5,1.0,11,-0.068,0.004,200,-0.0133636363636,0.01275,88
1,89,10,1.5,1.0,11,-0.072,0.002,200,-0.0140224719101,0.0126292134831,89
1,90,10,1.5,1.0,11,-0.072,0.002,200,-0.0146666666667,0.0125111111111,90
1,91,10,1.5,1.0,11,-0.08,0.004,200,-0.0153846153846,0.0124175824176,91
1,92,10,1.5,1.0,11,-0.084,0.006,200,-0.0161304347826,0.012347826087,92
1,93,10,1.5,1.0,11,-0.084,0.004,200,-0.0168602150538,0.0122580645161,93
1,94,10,1.5,1.0,11,-0.088,0.006,200,-0.0176170212766,0.0121914893617,94
1,95,10,1.5,1.0,11,-0.092,0.004,200,-0.0184,0.0121052631579,95
1,96,10,1.5,1.0,11,-0.092,0.002,200,-0.0191666666667,0.012,96
1,97,10,1.5,1.0,11,-0.096,0.004,200,-0.0199587628866,0.0119175257732,97
1,98,10,1.5,1.0,11,-0.1,0.006,200,-0.0207755102041,0.0118571428571,98
1,99,10,1.5,1.0,11,-0.1,0.006,200,-0.0215757575758,0.011797979798,99
1,100,10,1.5,1.0,11,-0.1,0.004,200,-0.02236,0.01172,100
1,101,10,1.5,1.0,11,-0.104,0.002,200,-0.0231683168317,0.0116237623762,101
1,102,10,1.5,1.0,11,-0.104,0.002,200,-0.0239607843137,0.0115294117647,102
1,103,10,1.5,1.0,11,-0.112,0.004,200,-0.0248155339806,0.0114563106796,103
1,104,10,1.5,1.0,11,-0.116,0.006,200,-0.0256923076923,0.0114038461538,104
1,105,10,1.5,1.0,11,-0.116,0.008,200,-0.0265523809524,0.0113714285714,105
1,106,10,1.5,1.0,11,-0.12,0.01,200,-0.0274339622642,0.011358490566,106
1,107,10,1.5,1.0,11,-0.124,0.008,200,-0.0283364485981,0.0113271028037,107
1,108,10,1.5,1.0,11,-0.124,0.006,200,-0.0292222222222,0.0112777777778,108
1,109,10,1.5,1.0,11,-0.124,0.006,200,-0.0300917431193,0.0112293577982,109
1,110,10,1.5,1.0,11,-0.124,0.006,200,-0.0309454545455,0.0111818181818,110
1,111,10,1.5,1.0,11,-0.124,0.008,200,-0.0317837837838,0.0111531531532,111
1,112,10,1.5,1.0,11,-0.124,0.008,200,-0.0326071428571,0.011125,112
1,113,10,1.5,1.0,11,-0.124,0.01,200,-0.0334159292035,0.0111150442478,113
1,114,10,1.5,1.0,11,-0.128,0.008,200,-0.0342456140351,0.0110877192982,114
1,115,10,1.5,1.0,11,-0.128,0.01,200,-0.0350608695652,0.0110782608696,115
1,116,10,1.5,1.0,11,-0.132,0.012,200,-0.0358965517241,0.0110862068966,116
1,117,10,1.5,1.0,11,-0.132,0.012,200,-0.0367179487179,0.011094017094,117
1,118,10,1.5,1.0,11,-0.136,0.01,200,-0.0375593220339,0.0110847457627,118
1,119,10,1.5,1.0,11,-0.136,0.008,200,-0.0383865546218,0.0110588235294,119
1,120,10,1.5,1.0,11,-0.136,0.008,200,-0.0392,0.0110333333333,120
1,121,10,1.5,1.0,11,-0.136,0.006,200,-0.04,0.0109917355372,121
1,122,10,1.5,1.0,11,-0.14,0.008,200,-0.0408196721311,0.0109672131148,122
1,123,10,1.5,1.0,11,-0.148,0.006,200,-0.0416910569106,0.0109268292683,123
1,124,10,1.5,1.0,11,-0.148,0.006,200,-0.0425483870968,0.0108870967742,124
1,125,10,1.5,1.0,11,-0.148,0.008,200,-0.043392,0.010864,125
1,126,10,1.5,1.0,11,-0.148,0.008,200,-0.0442222222222,0.0108412698413,126
1,127,10,1.5,1.0,11,-0.144,0.01,200,-0.0450078740157,0.0108346456693,127
1,128,10,1.5,1.0,11,-0.144,0.008,200,-0.04578125,0.0108125,128
1,129,10,1.5,1.0,11,-0.144,0.006,200,-0.0465426356589,0.0107751937984,129
1,130,10,1.5,1.0,11,-0.156,0.008,200,-0.0473846153846,0.0107538461538,130
1,131,10,1.5,1.0,11,-0.16,0.006,200,-0.0482442748092,0.0107175572519,131
1,132,10,1.5,1.0,11,-0.16,0.006,200,-0.0490909090909,0.0106818181818,132
1,133,10,1.5,1.0,11,-0.16,0.006,200,-0.0499248120301,0.0106466165414,133
1,134,10,1.5,1.0,11,-0.16,0.004,200,-0.0507462686567,0.0105970149254,134
1,135,10,1.5,1.0,11,-0.16,0.004,200,-0.0515555555556,0.0105481481481,135
1,136,10,1.5,1.0,11,-0.172,0.002,200,-0.0524411764706,0.0104852941176,136
1,137,10,1.5,1.0,11,-0.172,0.002,200,-0.0533138686131,0.0104233576642,137
1,138,10,1.5,1.0,11,-0.172,0.002,200,-0.0541739130435,0.0103623188406,138
1,139,10,1.5,1.0,11,-0.176,0.0,200,-0.0550503597122,0.0102877697842,139
1,140,10,1.5,1.0,11,-0.176,0.0,200,-0.0559142857143,0.0102142857143,140
1,141,10,1.5,1.0,11,-0.18,0.002,200,-0.0567943262411,0.0101560283688,141
1,142,10,1.5,1.0,11,-0.18,0.004,200,-0.057661971831,0.0101126760563,142
1,143,10,1.5,1.0,11,-0.18,0.004,200,-0.0585174825175,0.0100699300699,143
1,144,10,1.5,1.0,11,-0.18,0.006,200,-0.0593611111111,0.0100416666667,144
1,145,10,1.5,1.0,11,-0.18,0.006,200,-0.0601931034483,0.0100137931034,145
1,146,10,1.5,1.0,11,-0.188,0.008,200,-0.0610684931507,0.01,146
1,147,10,1.5,1.0,11,-0.188,0.006,200,-0.0619319727891,0.00997278911565,147
1,148,10,1.5,1.0,11,-0.188,0.004,200,-0.0627837837838,0.00993243243243,148
1,149,10,1.5,1.0,11,-0.192,0.006,200,-0.0636510067114,0.00990604026846,149
1,150,10,1.5,1.0,11,-0.192,0.006,200,-0.0645066666667,0.00988,150
1,151,10,1.5,1.0,11,-0.192,0.006,200,-0.0653509933775,0.00985430463576,151
1,152,10,1.5,1.0,11,-0.192,0.004,200,-0.0661842105263,0.00981578947368,152
1,153,10,1.5,1.0,11,-0.192,0.004,200,-0.0670065359477,0.00977777777778,153
1,154,10,1.5,1.0,11,-0.192,0.002,200,-0.0678181818182,0.00972727272727,154
1,155,10,1.5,1.0,11,-0.196,0.0,200,-0.0686451612903,0.00966451612903,155
1,156,10,1.5,1.0,11,-0.196,0.0,200,-0.0694615384615,0.00960256410256,156
1,157,10,1.5,1.0,11,-0.196,0.002,200,-0.0702675159236,0.00955414012739,157
1,158,10,1.5,1.0,11,-0.196,0.002,200,-0.0710632911392,0.00950632911392,158
1,159,10,1.5,1.0,11,-0.196,0.002,200,-0.0718490566038,0.00945911949686,159
1,160,10,1.5,1.0,11,-0.2,0.0,200,-0.07265,0.0094,160
1,161,10,1.5,1.0,11,-0.2,0.002,200,-0.0734409937888,0.00935403726708,161
1,162,10,1.5,1.0,11,-0.2,0.002,200,-0.0742222222222,0.00930864197531,162
1,163,10,1.5,1.0,11,-0.204,0.0,200,-0.075018404908,0.00925153374233,163
1,164,10,1.5,1.0,11,-0.204,0.002,200,-0.0758048780488,0.00920731707317,164
1,165,10,1.5,1.0,11,-0.204,0.002,200,-0.0765818181818,0.00916363636364,165
1,166,10,1.5,1.0,11,-0.208,0.004,200,-0.0773734939759,0.00913253012048,166
1,167,10,1.5,1.0,11,-0.216,0.006,200,-0.0782035928144,0.00911377245509,167
1,168,10,1.5,1.0,11,-0.216,0.008,200,-0.0790238095238,0.00910714285714,168
1,169,10,1.5,1.0,11,-0.22,0.006,200,-0.0798579881657,0.00908875739645,169
1,170,10,1.5,1.0,11,-0.224,0.008,200,-0.0807058823529,0.00908235294118,170
1,171,10,1.5,1.0,11,-0.224,0.006,200,-0.0815438596491,0.00906432748538,171
1,172,10,1.5,1.0,11,-0.224,0.004,200,-0.0823720930233,0.00903488372093,172
1,173,10,1.5,1.0,11,-0.224,0.002,200,-0.0831907514451,0.00899421965318,173
1,174,10,1.5,1.0,11,-0.224,0.002,200,-0.084,0.00895402298851,174
1,175,10,1.5,1.0,11,-0.224,0.002,200,-0.0848,0.00891428571429,175
1,176,10,1.5,1.0,11,-0.224,0.002,200,-0.0855909090909,0.008875,176
1,177,10,1.5,1.0,11,-0.232,0.0,200,-0.086418079096,0.00882485875706,177
1,178,10,1.5,1.0,11,-0.236,0.002,200,-0.0872584269663,0.00878651685393,178
1,179,10,1.5,1.0,11,-0.236,0.0,200,-0.0880893854749,0.0087374301676,179
1,180,10,1.5,1.0,11,-0.236,0.0,200,-0.0889111111111,0.00868888888889,180
